frame,time,pred,conf,no_weapon_prob,weapon_prob
277,1758535130.379413,no_weapon,0.61849314,0.61849314,0.3815069
278,1758535130.788831,no_weapon,0.6223675,0.6223675,0.3776325
279,1758535131.177745,no_weapon,0.6189513,0.6189513,0.38104868
280,1758535131.5538392,no_weapon,0.60863554,0.60863554,0.39136449
281,1758535131.9087124,no_weapon,0.6067683,0.6067683,0.39323172
282,1758535132.2993863,no_weapon,0.60908866,0.60908866,0.39091128
283,1758535132.6623485,no_weapon,0.60901326,0.60901326,0.39098677
284,1758535133.0509145,no_weapon,0.6068224,0.6068224,0.39317763
285,1758535133.3847346,no_weapon,0.6092051,0.6092051,0.39079484
286,1758535133.754507,no_weapon,0.61172307,0.61172307,0.38827693
287,1758535134.1116612,no_weapon,0.60861135,0.60861135,0.39138862
288,1758535134.425508,no_weapon,0.60799825,0.60799825,0.3920017
289,1758535134.7487273,no_weapon,0.6106209,0.6106209,0.3893791
290,1758535135.1179132,no_weapon,0.6151849,0.6151849,0.38481507
291,1758535135.536207,no_weapon,0.6152443,0.6152443,0.3847556
292,1758535135.9061813,no_weapon,0.61284965,0.61284965,0.38715026
293,1758535136.2894976,no_weapon,0.6167825,0.6167825,0.3832175
294,1758535136.6592193,no_weapon,0.6204305,0.6204305,0.3795694
295,1758535136.9619694,no_weapon,0.60098386,0.60098386,0.39901614
296,1758535137.2890575,no_weapon,0.4419009,0.4419009,0.5580991
297,1758535137.6662688,no_weapon,0.4407732,0.4407732,0.55922675
298,1758535138.0541308,weapon,0.61720306,0.38279694,0.61720306
299,1758535138.4173458,weapon,0.6093527,0.3906473,0.6093527
300,1758535138.8043642,weapon,0.6095773,0.39042264,0.6095773
301,1758535139.1792133,weapon,0.61078525,0.38921478,0.61078525
302,1758535139.5837457,weapon,0.6090788,0.3909212,0.6090788
303,1758535139.9049342,weapon,0.62744564,0.37255442,0.62744564
304,1758535140.2729883,weapon,0.6409751,0.3590249,0.6409751
305,1758535140.649221,weapon,0.633911,0.36608896,0.633911
306,1758535141.0776489,weapon,0.625883,0.37411708,0.625883
307,1758535141.4787095,weapon,0.6199193,0.38008067,0.6199193
308,1758535141.866475,weapon,0.61733466,0.38266537,0.61733466
309,1758535142.2604084,weapon,0.61645603,0.38354397,0.61645603
310,1758535142.6556616,weapon,0.61034983,0.38965014,0.61034983
311,1758535143.0932348,no_weapon,0.40574723,0.40574723,0.5942527
312,1758535143.4738114,no_weapon,0.62906593,0.62906593,0.37093407
313,1758535143.9286203,no_weapon,0.62507576,0.62507576,0.37492427
314,1758535144.243057,no_weapon,0.61392134,0.61392134,0.38607866
